,Unit,Value,Year,Month,Numeric_date
576,Parts Per Million,338.38,1982.0,9.0,1982.75
578,Parts Per Million,338.41,1982.0,10.0,1982.8333333333333
580,Parts Per Million,339.44,1982.0,11.0,1982.9166666666667
582,Parts Per Million,340.78,1982.0,12.0,1983.0
584,Parts Per Million,341.57,1983.0,1.0,1983.0833333333333
586,Parts Per Million,342.79,1983.0,2.0,1983.1666666666667
588,Parts Per Million,343.37,1983.0,3.0,1983.25
590,Parts Per Million,345.39,1983.0,4.0,1983.3333333333333
592,Parts Per Million,346.14,1983.0,5.0,1983.4166666666667
594,Parts Per Million,345.76,1983.0,6.0,1983.5
596,Parts Per Million,344.32,1983.0,7.0,1983.5833333333333
598,Parts Per Million,342.51,1983.0,8.0,1983.6666666666667
600,Parts Per Million,340.46,1983.0,9.0,1983.75
602,Parts Per Million,340.53,1983.0,10.0,1983.8333333333333
604,Parts Per Million,341.79,1983.0,11.0,1983.9166666666667
606,Parts Per Million,343.2,1983.0,12.0,1984.0
608,Parts Per Million,344.21,1984.0,1.0,1984.0833333333333
610,Parts Per Million,344.92,1984.0,2.0,1984.1666666666667
612,Parts Per Million,345.68,1984.0,3.0,1984.25
614,Parts Per Million,347.38,1984.0,4.0,1984.3333333333333
616,Parts Per Million,347.78,1984.0,5.0,1984.4166666666667
618,Parts Per Million,347.16,1984.0,6.0,1984.5
620,Parts Per Million,345.79,1984.0,7.0,1984.5833333333333
622,Parts Per Million,343.74,1984.0,8.0,1984.6666666666667
624,Parts Per Million,341.59,1984.0,9.0,1984.75
626,Parts Per Million,341.86,1984.0,10.0,1984.8333333333333
628,Parts Per Million,343.31,1984.0,11.0,1984.9166666666667
630,Parts Per Million,345.0,1984.0,12.0,1985.0
632,Parts Per Million,345.48,1985.0,1.0,1985.0833333333333
634,Parts Per Million,346.41,1985.0,2.0,1985.1666666666667
636,Parts Per Million,347.91,1985.0,3.0,1985.25
638,Parts Per Million,348.66,1985.0,4.0,1985.3333333333333
640,Parts Per Million,349.28,1985.0,5.0,1985.4166666666667
642,Parts Per Million,348.65,1985.0,6.0,1985.5
644,Parts Per Million,346.9,1985.0,7.0,1985.5833333333333
646,Parts Per Million,345.26,1985.0,8.0,1985.6666666666667
648,Parts Per Million,343.47,1985.0,9.0,1985.75
650,Parts Per Million,343.35,1985.0,10.0,1985.8333333333333
652,Parts Per Million,344.73,1985.0,11.0,1985.9166666666667
654,Parts Per Million,346.12,1985.0,12.0,1986.0
656,Parts Per Million,346.78,1986.0,1.0,1986.0833333333333
658,Parts Per Million,347.48,1986.0,2.0,1986.1666666666667
660,Parts Per Million,348.25,1986.0,3.0,1986.25
662,Parts Per Million,349.86,1986.0,4.0,1986.3333333333333
664,Parts Per Million,350.52,1986.0,5.0,1986.4166666666667
666,Parts Per Million,349.98,1986.0,6.0,1986.5
668,Parts Per Million,348.25,1986.0,7.0,1986.5833333333333
670,Parts Per Million,346.17,1986.0,8.0,1986.6666666666667
672,Parts Per Million,345.48,1986.0,9.0,1986.75
674,Parts Per Million,344.82,1986.0,10.0,1986.8333333333333
676,Parts Per Million,346.22,1986.0,11.0,1986.9166666666667
678,Parts Per Million,347.48,1986.0,12.0,1987.0
680,Parts Per Million,348.73,1987.0,1.0,1987.0833333333333
682,Parts Per Million,348.92,1987.0,2.0,1987.1666666666667
684,Parts Per Million,349.81,1987.0,3.0,1987.25
686,Parts Per Million,351.4,1987.0,4.0,1987.3333333333333
688,Parts Per Million,352.15,1987.0,5.0,1987.4166666666667
690,Parts Per Million,351.58,1987.0,6.0,1987.5
692,Parts Per Million,350.21,1987.0,7.0,1987.5833333333333
694,Parts Per Million,348.2,1987.0,8.0,1987.6666666666667
696,Parts Per Million,346.66,1987.0,9.0,1987.75
698,Parts Per Million,346.72,1987.0,10.0,1987.8333333333333
700,Parts Per Million,348.08,1987.0,11.0,1987.9166666666667
702,Parts Per Million,349.28,1987.0,12.0,1988.0
704,Parts Per Million,350.51,1988.0,1.0,1988.0833333333333
706,Parts Per Million,351.7,1988.0,2.0,1988.1666666666667
708,Parts Per Million,352.5,1988.0,3.0,1988.25
710,Parts Per Million,353.67,1988.0,4.0,1988.3333333333333
712,Parts Per Million,354.35,1988.0,5.0,1988.4166666666667
714,Parts Per Million,353.88,1988.0,6.0,1988.5
716,Parts Per Million,352.8,1988.0,7.0,1988.5833333333333
718,Parts Per Million,350.49,1988.0,8.0,1988.6666666666667
720,Parts Per Million,348.97,1988.0,9.0,1988.75
722,Parts Per Million,349.37,1988.0,10.0,1988.8333333333333
